Date,return_pct,volatility,shock_std,vol_trend_5,ret_5d,p30_dynamic,p70_dynamic,regime,vol_change,regime_future,regime_future_ml
2024-05-02,1.4814392549697075,3.157518892449904,0.4294463882657817,2.812625636833325,-7.013836515010041,2.70232623144556,4.044846623689328,1,0.1700578882765451,1.0,1.0
2024-05-03,6.17572064982479,3.049173064964164,1.984231904911495,2.874911480992447,-0.3545862361697516,2.702403632460915,4.044627573104513,1,-0.10834582748573984,1.0,1.0
2024-05-04,1.5801344389048566,3.515555158518256,0.4137839409670515,3.051567934442561,0.0788390239794267,2.70248103347627,4.044408522519697,1,0.4663820935540919,1.0,1.0
2024-05-05,0.2183511056964349,3.3858743727293965,0.0274366159945338,3.219116498567016,5.446653101330057,2.7025658979306173,4.044088856969164,1,-0.12968078578885933,1.0,1.0
2024-05-06,-1.36673647637231,3.2313166517424,-0.4617902879601143,3.267887628080824,8.088908973023479,2.702665689262949,4.0435679614872,1,-0.15455772098699638,1.0,1.0
2024-05-07,-1.3181929995647934,3.1241215306418617,-0.4620969946691914,3.261208155719216,5.289276718488978,2.702765480595282,4.0430470660052364,1,-0.10719512110053842,1.0,1.0
2024-05-08,-1.8569986258492928,3.0225205214636297,-0.6558939079147865,3.2558776470191093,-2.743442557185105,2.7028652719276143,4.0425261705232725,1,-0.101601009178232,1.0,1.0
2024-05-09,2.997730860417924,2.961660731450272,0.9698196215355488,3.1450987616055115,-1.3258461356720377,2.7030565350370463,4.0418837331221455,1,-0.06085979001335762,1.0,1.0
2024-05-10,-3.645645463548952,2.983417657684021,-1.2640200156227943,3.064607418596437,-5.1898427049174245,2.7032477981464784,4.041241295721019,1,0.021756926233748697,1.0,1.0
2024-05-11,0.0015356866757798,3.1057472574724314,-0.0398997322632089,3.0394935397424434,-3.821570541869335,2.7034390612559105,4.040598858319892,1,0.12232959978841063,1.0,1.0
2024-05-12,1.0711364152793834,2.969047625600097,0.3185136662676872,3.00847875873409,-1.4322411270251578,2.703875172467868,4.04009680361154,1,-0.13669963187233458,1.0,1.0
2024-05-13,2.337149423787644,2.8574347496943755,0.7740142634221396,2.9754616043802398,2.7619069226117787,2.7044337077310883,4.039664940249576,1,-0.11161287590572133,1.0,1.0
2024-05-14,-2.167403811158053,2.8291914025969813,-0.8104287252461992,2.948967738609581,-2.4032277489641984,2.7049922429943085,4.039233076887611,1,-0.028243347097394178,1.0,1.0
2024-05-15,7.380429766149987,2.810544385285884,2.5813417619042145,2.9143930841299537,8.622847480734741,2.7054102845972583,4.038385369060356,1,-0.018647017311097525,1.0,1.0
2024-05-16,-1.5755724397152449,3.5773008672904933,-0.4755056042377995,3.0087038060935667,7.045739354343716,2.7055473388796667,4.036705972302529,1,0.7667564820046096,1.0,1.0
2024-05-17,2.752283490504759,3.455121517952563,0.7602711818180106,3.10591858456406,8.726886429569092,2.705684393162075,4.035026575544698,1,-0.12217934933793018,1.0,1.0
2024-05-18,-0.1657856805291402,3.4046082759755194,-0.0855428371335368,3.215353289820288,6.223951325252308,2.7058214474444835,4.033347178786871,1,-0.050513241977043766,1.0,1.0
2024-05-19,-0.994515955321873,3.2501143966938275,-0.3445940632696762,3.2995378886396574,7.396839181088488,2.705831587098078,4.03282002162951,1,-0.1544938792816919,1.0,1.0
2024-05-20,7.510908882529854,3.1251697837270958,2.3632171123182286,3.3624629683278995,7.527318297468355,2.705841726751672,4.032292864472149,1,-0.12494461296673176,1.0,1.0
2024-05-21,-1.85288571822948,3.830027639531484,-0.5165341024007883,3.413008322776098,7.25000501895412,2.705851866405266,4.031765707314789,1,0.7048578558043883,1.0,1.0
2024-05-22,-1.4565869510185792,3.704072744134152,-0.4271085453842822,3.462798568012416,3.041134577430782,2.705910275035847,4.030668651669068,1,-0.12595489539733196,1.0,1.0
2024-05-23,-1.7406596587758116,3.566863721344361,-0.5231805797162873,3.495249657086184,1.4662605991841104,2.70599281815492,4.029286646779172,1,-0.1372090227897913,1.0,1.0
2024-05-24,0.874339466804841,3.4544472688088748,0.2167887473172917,3.536116231509193,3.3351160213108244,2.7060753612739927,4.027904641889273,1,-0.11241645253548604,1.0,1.0
2024-05-25,1.0738658385429645,3.304425519277689,0.2870125721653885,3.571967378619312,-3.1019270226760653,2.706133669216633,4.026948100577307,1,-0.15002174953118574,1.0,1.0
2024-05-26,-1.085552305803894,3.1698221609905657,-0.382042403335202,3.439926282911129,-2.3345936102504794,2.7061435068064075,4.026842486421204,1,-0.13460335828712333,0.0,1.0
2024-05-27,1.271054899375912,3.0541590909189007,0.3750953026828446,3.3099435522680785,0.3930482401440116,2.706153344396182,4.0267368722651,1,-0.11566307007166499,0.0,1.0
2024-05-28,-1.5953999045956735,2.944081190735547,-0.5845131176195116,3.185387046146316,0.5383079943241498,2.706163181985956,4.0266312581089965,1,-0.11007790018335362,0.0,1.0
