Date,return_pct,volatility,shock_std,vol_trend_5,ret_5d,p30_dynamic,p70_dynamic,regime,vol_change,regime_future,regime_future_ml,price,sma_50,trend_dist,return,trend_strength,signal,realized_vol,dynamic_target,position
2022-01-09,0.4247935206112885,3.1264491881752523,0.095744191531183,3.151911108800108,-9.084959087006794,2.806068715552857,4.301535020387834,1,-0.14608931237834888,1.0,1.0,41911.6015625,49861.396484375,-0.15943787142757257,0.004247935206112885,-0.005601719287586261,-1,0.025645760850740013,0.005,0.0
2022-01-10,-0.2157811766201334,2.98973098212446,-0.1141358033169197,3.166254841108,-4.094111418145552,2.8064943653907486,4.300295282341035,1,-0.1367182060507921,1.0,1.0,41821.26171875,49523.2121875,-0.15552202954020067,-0.002157811766201334,-0.007856049520269704,-1,0.025052732375001302,0.005,0.0
2022-01-11,2.163341063743829,2.8623823661747214,0.71195480977656,3.081537213352637,-0.9897406240428452,2.80692001522864,4.299055544294238,1,-0.12734861594973879,0.0,1.0,42735.85546875,49252.143515625,-0.1323046588786078,0.02163341063743829,-0.0064585872680733136,-1,0.025343085890760397,0.005,0.0
2022-01-12,2.7993907251913086,2.819896536080712,0.9482392422034056,3.0141995146217497,5.594448966185972,2.8073456650665314,4.29781580624744,1,-0.042485830094009636,0.0,1.0,43949.1015625,48979.7440625,-0.10270863182912332,0.027993907251913086,-0.007227988871956993,-1,0.0261635216511902,0.005,0.0
2022-01-13,-3.1375827952070168,2.837537015038309,-1.1499539736890758,2.927199217518691,2.034161337719276,2.807659918265908,4.296329440579564,1,0.01764047895759724,0.0,1.0,42591.5703125,48705.966953125,-0.1255369110423275,-0.03137582795207017,-0.008833841052938319,-1,0.02677258152980614,0.005,0.0
2022-01-14,1.1859664695821337,2.9170906078545484,0.3635513740987258,2.88532750145455,2.795334286690121,2.807918473146027,4.294719761101147,1,0.07955359281623942,0.0,1.0,43099.69921875,48422.46734375,-0.10992352139377351,0.011859664695821337,-0.007853371458197601,-1,0.025104032440512233,0.005,0.0
2022-01-15,0.1801155622210615,2.8134684113851707,0.0194284717303879,2.850074987306692,3.191231025531316,2.8081770280261464,4.293110081622731,1,-0.10362219646937776,0.0,1.0,43177.3984375,48214.62,-0.10447498212160548,0.001801155622210615,-0.008138323923578829,-1,0.025144285253612845,0.005,0.0
2022-01-16,-0.1472212364401315,2.695583403011929,-0.1011563607572227,2.816715194674134,0.8806687253473555,2.807573733305868,4.290856701320676,0,-0.1178850083732419,0.0,1.0,43113.87890625,47980.596015625,-0.10143094320441834,-0.001472212364401315,-0.008045253493464256,-1,0.022968172222203376,0.005,0.0
2022-01-17,-2.0227571699049207,2.587022109227884,-0.8303799696834427,2.770140309303568,-3.941479169748874,2.8066362486700456,4.287315919371344,0,-0.108561293784045,2.0,1.0,42250.55078125,47680.637890625,-0.11388453153313768,-0.020227571699049207,-0.005949060752817826,-1,0.023066541755670248,0.005,0.0
2022-01-18,0.2956109256611938,2.58031708844494,0.065944125897184,2.7186963239848945,-0.5082854488806632,2.805632407619675,4.283775137422013,0,-0.006705020782943993,2.0,0.0,42375.6328125,47372.01921875,-0.10547125684421772,0.002956109256611938,-0.004584454692170149,-1,0.023168759376078738,0.005,0.0
2022-01-19,-1.5009910442870478,2.478677730122364,-0.656174538241759,2.6310137484384573,-3.1952429627498447,2.804614355775584,4.28023435547268,0,-0.10163935832257565,1.0,0.0,41744.328125,47066.797265625,-0.11308330818830194,-0.015009910442870478,-0.006118337149970367,-1,0.023000679324651302,0.005,0.0
2022-01-20,-2.581674309560356,2.4412102089223664,-1.1089288707675444,2.556562107945896,-5.957032834531262,2.803704110462021,4.279603128720114,0,-0.037467521199997744,1.0,1.0,40680.41796875,46735.8090625,-0.12956641203433744,-0.02581674309560356,-0.00647671566690722,-1,0.023250852344759963,0.005,0.0
2022-01-21,-10.960468291544068,2.507598325942193,-4.420932311041013,2.518965092531949,-16.770279889635198,2.802830865163373,4.278971901967548,0,0.06638811701982661,1.0,1.0,36457.31640625,46335.3990625,-0.21318652382654227,-0.10960468291544068,-0.013425636470067736,-1,0.029210164840617954,0.005,0.0
2022-01-22,-3.993018883964616,4.331178283192679,-0.9508897545669388,2.867796327324908,-18.740541603694894,2.803193220286572,4.281414616122457,2,1.8235799572504856,1.0,1.0,35030.25,45964.039140625,-0.2378770305014653,-0.03993018883964616,-0.015062693192049004,-1,0.02968688613094514,0.005,0.0
2022-01-23,3.496657378118151,4.330591489814196,0.7784625299618523,3.217851207598759,-15.539495151237936,2.803574075417227,4.2896764406709,2,-0.0005867933784822199,1.0,1.0,36276.8046875,45705.561171875,-0.20629341906378348,0.03496657378118151,-0.012368632668201764,-1,0.030705775212070758,0.005,0.0
2022-01-24,1.0352967106697974,4.261426819434987,0.213506550386874,3.574401025461284,-13.003207396281091,2.8039641805516107,4.286135658721565,1,-0.0691646703792097,1.0,1.0,36654.328125,45451.27078125,-0.19354668208482745,0.010352967106697974,-0.011244037579673806,-1,0.030959161248181096,0.005,0.0
